Index,Kanji,Keyword,English,Origin,SubOrigin,Mnemonic1,Mnemonic2,Compo,Strokes,Radical,Onyomi,Kunyomi,Ex1Kanji,Ex1Kana,Ex1English,Ex2Kanji,Ex2Kana,Ex2English,Ex3Kanji,Ex3Kana,Ex3English,Ex4Kanji,Ex4Kana,Ex4English
791,閣,Tower,"Stately Building, Cabinet (Of A Government)",Gates . . . each.,,"To keep this distinct from other kanji such as ""watchtower"" and ""pagoda"", I use the mnemonic ""towering tower"". -- In some old 8-bit kung-fu videogame, with a plot similar as Bruce Lee´s last, unfinished movie, the hero must break through a gate at each level of the towering tower, fighting with opponents using various styles of kung-fu until he meets the finale at the topmost level of the ""towering tower"".",Remember the two towers from lord of the rings... each has it´s own - very difficult to master - entrance gate.,門: gate　各: each; every,14,門,カク,,内閣,ないかく,Cabinet (of a government),天守閣,てんしゅかく,"Castle-tower; dungeon, keep",,,,,,
792,落,Fall,"Fall, Fail","When water falls, it splats and splashes; when flower petals fall, they float gently in the breeze. To each thing its own way of falling.",,Water each flower or the petals will wither and fall.,"(It´s been suggested on the forum (http://forum.koohii.com/viewtopic.php?id=1079) that flower across the full width of the kanji and water on the left below it should have its own keyword; seaweed is a popular choice. See also dilute (#227), clan (#1912), seaweed (#2035). This story is for the benefit of those using that idea.] Picture a group of Japanese skydivers falling through the sky -- suddenly each one opens, instead of a parachute, an enormous sheet of nori seaweed to carry them safely down.","艸: grass; plants; flowers (艹, 龷)　水: water (氵) (氺))　各: each; every",12,艸,ラク,"お.ちる, お.ち, お.とす",落下,らっか,"Fall, drop, descent",落ちる,おちる,"Fall, drop; fail",落ち葉,おちば,Fallen leaves,落とす,おとす,"Let fall, drop; remove"
793,南,South,South,Belt . . . happiness. Note how the belt runs through the middle of happiness.,,South of my belt leads to happiness.,"In the south (Southern Alabama, Southern Africa, picture any south, but choose one and stick with it) ""they measure happyness by the belt"". If someone has a larger belly (and a longer belt), it is believed they are well fed and thus are happy.",冂: hood; belt (RTK)　幸: happiness,9,十,"ナン, ナ",みなみ,南北,なんぼく,"North and south, north-south",東南,とうなん,Southeast,南部,なんぶ,South(ern) part; south,南,みなみ,South
794,西,West,West,"To our way of counting directions, the west always comes fourth. So it is convenient to find the character for four in this kanji. But since we want only one of the four directions, the west adds the one at the top and sucks the human legs a bit out of their mouth in the process.","As a primitive, the meaning of west can be expanded to refer to the Old West of cowboy-movie fame, just as the meaning of the character for east was expanded into the East. Note, however, that in its primitive form the legs are straightened out and reach down to the bottom of the mouth. Hence, we get the shape ⻃. With the exception of one kanji, given in the following frame, this element always appears at the top of its relative primitives.",The old west represented by a completely empty whiskey bottle (compare sign of the bird (#1427) whiskey bottle about one third full).,Note: this kanji is also used to denote Spain.,西: west (覀),6,襾,"セイ, サイ",にし,西側,にしがわ,West side; west european countries and america,西洋,せいよう,The west,西部,せいぶ,Western part; the west,西,にし,West
795,酉,Sign of the bird,(Sign Of) The Rooster,"Though we shall later encounter the kanji for bird, we introduce this one for the tenth sign of the zodiac mainly because of its use as a primitive, where it has a different meaning.","As a primitive, it means whiskey bottle. In its pictograph, you can see the loosely corked lid, the bottle and the contents (about one-third full). You might also think of the Spanish ""porrón,"" a decanter shaped like a long-necked bird.",The sign of the bird on this whiskey bottle is of course the Famous Grouse blended Scotch.,"Normally birds fly south, but one bird flew west. People were worried about it and kept asking ""Is there any sign of the bird – you know, the one that flew west?"".","西: west (覀)　一: one; ceiling, floor (RTK)",7,,ユウ,とり,酉年,とりどし,Year of the rooster,,,,,,,,,
796,酒,Saké,Alcoholic Drink,Water . . . whiskey bottle.,,Sake is just watered down whisky.,Sake is the generic term for alcohol (not just japanese rice wine). And a very popular alcoholic drink in Japan is whiskey and water.,水: water (氵) (氺)　酉: alcohol,10,酉,シュ,"さけ, さか-",飲酒,いんしゅ,Drinking (alcoholic drinks),お酒,おさけ,"Sake; alcoholic drink, wine, liquor, beer",,,,,,
797,洒,"Sprinkle, Wash","Sprinkle, Wash",,,,,水: water (氵) (氺)　西: west (覀),,,"シャ, サイ",,お洒落,おしゃれ,Stylishly dressed,,,,,,,,,
798,配,Distribute,"Distribute, Put In Order, Manage",Whisky bottle . . . snake.,,To DISTRIBUTE WHISKY during Prohibition you had to be as sneaky as a SNAKE.,"I imagine a bartender serving whiskey to his patrons, and using that snake-like sprayer to distribute soda water into each glass.",酉: alcohol　已: oneself; snake (RTK),10,酉,ハイ,くば.る,支配する,しはいする,"Control, manage, govern",手配,てはい,"Arrangement, preparation",心配する,しんぱいする,Worried about,配る,くばる,To distribute
799,酸,Acid,"Acid, Oxygen",Whiskey bottle . . . license . . . walking legs.,,The prostitute carries an old whiskey bottle filled with acid to throw at any difficult Johns.,"Dealing alcohol requires a license, dealing acid requires fast legs (to run from the police).",酉: alcohol　允: license　夂: winter; walking legs (RTK),14,酉,サン,す.い,酸素,さんそ,Oxygen,酸性,さんせい,Acidity,酸化,さんか,Oxidation,酸っぱい,すっぱい,"Sour, acid"
800,猶,Waver,Delay,Wild dogs . . . animal horns . . . whiskey bottle.,,The waver for this kanji means to hesitate. I wavered before going into the bar with a bunch of horned wild dogs drinking whiskey straight out of the bottle.,"I wavered when the pack of wild dogs was blocking the way, but then I drank some Red Bull and charged through. (thanks shakkun).",犬: dog (犭)　丷: animal horns (RTK)　酉: alcohol,12,犬,ユウ,,猶予する,ゆうよする,"Postpone, delay, extend; hesitate",,,,,,,,,
801,尊,Revered,"Honor, Esteem",Animal horns . . . whiskey bottle . . . glue.,,"People don't know this, but (""revered"" patriot) Paul Revere had trouble staying awake during his midnight ride, so he drank Red Bull (horns) and whiskey (a drink invented by his friend Sam Adams) and glued himself DOWN to the saddle. (thanks to akahige].","Red Bull, the chieftain (#2906) is so revered in his clan that everyone sticks to him like glue.",丷: animal horns (RTK)　酉: alcohol　寸: measurement; glue (RTK),12,寸,ソン,"たっと.い, とうと.い, たっと.ぶ, とうと.ぶ",尊い,たっとい,"Exalted, august",尊重する,そんちょうする,"Respect, esteem, value",,,,,,
802,遵,Abide by,Obey,,,You must abide by the revered rules of the road! No devil´s brew and stay glued to your lane in the road!,Even the most revered person must still abide by the rules of the road -- no exceptions are granted to anyone.,尊: honor　辶: walk; road; way (RTK),15,辵,ジュン,,遵守する,じゅんしゅする,"Observe, obey, follow, conform to",,,,,,,,,
803,導,Guidance,"Guide, Conduct","When we accept someone's guidance, we permit ourselves to be glued to a certain road or way of doing something, and try to ""stick"" to it.",,"For guidance on the road-way, glue a GPS unit to your car.",Good guidance will help you stay glued to the right path.,道: road-way　寸: measurement; glue (RTK),15,寸,ドウ,みちび.く,導入する,どうにゅうする,"Lead into, bring into",導く,みちびく,"Guide, conduct",主導,しゅどう,"Initiative, leadership",,,
804,敬,Awe,"Respect, Revere","Standing in awe of someone, you get self-conscious and may try to speak in flowery phrases out of veneration or fear. The taskmaster at the right is drilling you in the practice of your ""honorifics.""",,The flowery phrases of the schoolmaster held the students in awe.,敬 【けい】 (n) reverence; respect. 敬語 【けいご】 (n) honorific; term of respect; (P) STORY: The TASKMASTER demands RESPECT. If you don´t talk to him in HONORIFICS and FLOWERY PHRASES you will be sorry.,"艸: grass; plants; flowers (艹, 龷)　句: phrase　攵: strike; taskmaster (RTK)",12,攴,ケイ,うやま.う,敬う,うやまう,"Respect, revere, honor",尊敬する,そんけいする,"Respect, esteem, honor",敬老,けいろう,Respect for the aged,敬語,けいご,"Honorific language, polite speech"
805,警,Admonish,"Guard Against, Warn","Here you have a perfect example of how an apparently impossible snarl of strokes becomes a snap to learn once you know its elements. The idea of being admonished for something already sets up a superior-inferior relationship between you and the person you are supposed to stand in awe of. While you are restricted to answering in honorifics, the superior can use straightforward and ordinary words.",,To admonish is to enforce awe by means of words.,Watch in awe as mom admonishes the rude clerk with words that you´ve never heard her use before.,敬: awe　言: word; say,19,言,ケイ,,警察,けいさつ,Police,警視庁,けいしちょう,Metropolitan police office,警告,けいこく,"Warning, admonition",,,
806,驚,Wonder,Surprise,Awe . . . team of horses.,,"You stand in AWE at the 8th WONDER of the world, a huge TROJAN HORSE.","This is another word for surprise. 驚く＝おどろく= surprise. The Trojans stood in awe of the magnificent Trojan Horse that they thought was a gift. But imagine their surprise (wonder) when a bunch of Greeks came rushing out of it! (To further cement the connection between the primitives, if needed: It´s a wonder that the Trojans managed to speak keigo 敬語 even then, saying ""わたくしたちを殺さないでください!!お願い致します!!"").",敬: awe　馬: horse,22,馬,キョウ,"おどろ.く, おどろ.かす",驚く,おどろく,Be surprised; be frightened,驚がく(驚愕x),きょうがく,"Astonishment, surprise, shock",驚かす,おどろかす,Surprise; frighten,驚くべき,おどろくべき,"Astonishing, wonderful"
807,散,Scatter,"Scatter, Disperse; Unrestrained",Salad . . . flesh . . taskmaster.,,"The taskmaster is dissatisfied with the meal she´s served, and scatters the salad & meat across the floor for the servants to clean up.","Perhaps you´ve heard of Nyotaimori or Nantaimori (http://en.wikipedia.org/wiki/Nyotaimori) in which sushi is ate from the flesh of a naked person, the story comes easily. Scatter salad over the flesh of the taskmaster in preperation for some nantaimori :).","艸: grass; plants; flowers (艹, 龷)　月: moon; month　攵: strike; taskmaster (RTK)",12,攴,サン,"ち.る, ち.らす, -ち.らす, ち.らかす, ち.らかる, ち.らばる",解散,かいさん,"Breakup, dispersion; dissolution",散らす,ちらす,"(vt] scatter, disperse, break up",散歩,さんぽ,"Leisurely stroll, walk",,,
808,敢,Daring,Boldly,Spike . . . ear . . . taskmaster.,,Only a truly daring Japanese student would wear a spike in his ear under the gaze of the Japanese teacher taskmasters!,See that ear nailed over there ? It´s the ear of the last person who was too daring with the taskmistress.,丅: under; spike (RTK)　耳: ear　攵: strike; taskmaster (RTK),12,攴,カン,"あ.えて*, あ.えず*",敢然と,かんぜんと,"Boldly, bravely",敢えてする,あえてする,Dare to do; do anyway,取り敢えず,とりあえず,"As a temporary measure, for now",,,
809,厳,Stern,"Severe, Solemn",Owl . . . cliff . . . daring.,,"This represents a stern looking owl, perched up on a cliff. This cliff is quite famous for daring individuals to cliff dive off of, but is any of them daring enough to threaten the owl?",The daring mouse gets a stern look after he climbs onto the owl´s cliff…,小: little; owl (RTK)　厂: cliff　敢: daring,17,口,"ゲン, ゴン","おごそ.か, きび.しい",厳しい,きびしい,"Severe, strict, rigorous",厳禁,げんきん,Strictly prohibited,厳かな,おごそかな,"Solemn, dignified",尊厳,そんげん,"Dignity, sanctity"
810,仏,Buddha,Buddha,Person . . . elbow.,,"Mr. T says, ""I ain´t afraid o´ no foo! I´ll give anyone an elbow to the face, I don´t care if it´s Buddha himself!"".",Buddha is a person who always seems to have his elbows bent.,人: human (亻); umbrella (𠆢) (RTK)　厶: myself; elbow (RTK),4,人,"ブツ, フツ*",ほとけ,仏教,ぶっきょう,Buddhism,仏様,ほとけさま,Buddha; deceased person,念仏,ねんぶつ,"Buddhist invocation, prayer to amitabha",日仏,にちふつ,"Japan and france, japanese-french"
811,払,Pay,"Clear Away, Pay",Finger . . . elbow.,,"You´re at a restaurant and raise your finger to indicate to the waiter that you want to pay. Your friend elbows you in the ribs -- it´s his shout, and he insists on taking care of the bill.","You are walking out of the restaurant when the waiter uses his FINGERS to grab you at the ELBOW and says, ""excuse me sir, didn´t you forget to PAY?"".",手: hand; fingers (扌) (RTK)　厶: myself; elbow (RTK),5,手,フツ,"はら.う, -はら.い, -ばら.い",払底,ふってい,Shortage,支払い,しはらい,"Payment, payout, defrayment",払い込む,はらいこむ,"Pay in, pay up",払う,はらう,To pay
812,拡,Broaden,"Enlarge, Widen",Fingers . . . wide. The connection with the previous character is very close. Beware.,,Japanese girls are tight and may require fingers inserted to broaden them and make them wide enough before you can...,Spread your fingers wide to broaden your hand.,手: hand; fingers (扌) (RTK)　広: wide,8,手,カク,,拡大する,かくだいする,"Magnify, enlarge, expand",拡散,かくさん,"Scattering, diffusion",,,,,,
813,可,Can,"Possible, -Able; Worthy Of, Approve","Remember the story about the ""Little Engine that Could"" when you hear this key word, and the rest is simple. See the determined little locomotive huffing and puffing up the mountain - ""I think I can, I think I can...."" - spitting railroad spikes out of its mouth as it chews up the line to the top.",,"A mouth on the street asking for things: ""Can I get some help?! Can I get directions, Can I have some money? Can you please speak English?!"".",I can eat nails.,丁: street; nail (RTK)　口: mouth,5,口,カ,,可決,かけつ,Approval (adoption] of a bill,可燃ゴミ,かねんゴミ,Burnable trash,可愛い,かわいい,"Lovable, darling, sweet",不可欠,ふかけつ,Indispensable
814,何,What,"What, How Many, Several",Person . . . can.,,"What can Mr T do? ´You mean: what can´t MR T do, you fool´.",What can´t Mr. T not do?,人: human (亻); umbrella (𠆢) (RTK)　可: can,7,人,カ,"なに, なん, なに-, なん-",幾何学,きかがく,Geometry,何才ですか,なんさいですか,How old are you?,何時ですか,なんじですか,What time is it?,何,なに,What
815,苛,Bullying,Torment; Severe,"A nosegay of flowers make a nice gift, but if those flowers are poison oak, they can amount to bullying. Be sure to emphasize the word can when you repeat this little phrase to yourself.",,How many flowers can I stuff in your nostrils? Well I´m just gonna have to go and see. Bullying at its worst!,"Flowers, you ask if they can feel pain, do you? ^stomp^ ^stomp^ ^stomp^ They sure -can-!! ^stomp^ ^stomp^ ^stomp^ ^stomp^ ^stomp^ ^stomp^!!","艸: grass; plants; flowers (艹, 龷)　可: can",8,艸,カ,"いじ.め*, いじ.める*, いら*, さいな.む*",苛める,いじめる,"Bully, torment",苛烈な,かれつな,"Severe, intense",,,,,,
816,荷,Baggage,"Load, Cargo",Flowers . . . what.,,"TSA guard: What´s in the baggage?! It´s just flowers, I swear!","Your girlfriend arrives at the airport. You give her flowers, but she brushes you off and says ""here, carry my BAGGAGE."" Dumbfounded at her rudeness, you say, ""what?"".","艸: grass; plants; flowers (艹, 龷)　何: what",10,艸,カ,に,荷物,にもつ,"Baggage, luggage, load",在荷,ざいか,"Stock, goods on hand",荷造り,にづくり,Packing,荷,に,"Load, cargo"
817,河,River,River,"The character in this frame represents a step up from the stream we met in Frame 134; it is a full-sized river. The water to the left tells us what we are dealing with, and the can at the right tells us that our ""little engine that could"" has now become amphibious and is chugging down the Mighty Mississip' like a regular riverboat.",,A river CAN exist only if there is WATER.,"I kept confusing this with stream. My Japanese friend said that to him this is for an artificial river. Looking at kanji compounds with this there are two that struck me: One is the Yellow River in China (黄河), and the other is the Milky Way (銀河). Now I either think of the Little Engine that could dragging a bunch of stuff down a river in China and polluting it (so it turned yellow) or I see the Little Engine that Could flying across the sky making the Milky Way.",水: water (氵) (氺)　可: can,8,水,カ,かわ,運河,うんが,Canal,河川,かせん,Rivers,河原,かわら,"Dry riverbed, river beach",銀河,ぎんが,Milky way; galaxy
818,阿,Africa,Phonetic (A),"This kanji, an abbreviation for Africa, is now used chiefly for its sound, ""a,"" not unlike the kanji for Italy and the sound ""i"" that we met earlier (Frame 1245). Its composite elements are: pinnacles . . . can.",,Can you see Africa from The Pinnacle? I can! I can!,"A kinda pictogram: ´BoT´, the first 3 letters in ´Botswana´ an African country.",阜: hill; pinnacle (RTK) (阝)　可: can,,,ア,,阿呆,あほう,"Fool, idiot",阿倍,あべ,Abe (surname),南阿,なんあ,South africa,,,
819,司,Director,"Officiate, Administer",Clothes hanger . . . one . . . mouth.,,"The porn director has one big mouth. ""Don´t bother putting your clothes on a hanger, just get started."".",The director sticks a clothes hanger in each actor´s mouth and hangs them from the ceiling until he needs them.,"ヿ: enclosure; clothes hanger (RTK)　一: one; ceiling, floor (RTK)　口: mouth",5,口,シ,,司法,しほう,Administration of justice,司会する,しかいする,Preside; emcee,司書,ししょ,Librarian,上司,じょうし,"Superior officer, superior"
820,伺,Pay respects,"Inquire, Pay A Visit",This honorific form of call on (Frame 534) is made up of: person . . . director.,,"That person, being the director, is someone you need to pay your respects to.","If Mr. T gets a role in a film, he doesnt pay respects to the director, the director pays respects to Mr. T.",人: human (亻); umbrella (𠆢) (RTK)　司: director,7,人,シ,うかが.う,伺う,うかがう,"Inquire (about), be told; pay a visit",伺い,うかがい,"Question, inquiry; consulting the oracle; call, visit",,,,,,
821,詞,Parts of speech,Words,"The key word, parts of speech, refers to nouns, verbs, adjective, adverbs, and so on. The elements: words . . . directors.",,"Parts of speech act as word directors, giving it meaning and indicating its correct placement and usage in grammar.","The big mouthed diretor is even picky about the parts of speech you use, shouting, ""More verbs! Less adjectives!"" and such all the time.",言: word; say　司: director,12,言,シ,,動詞,どうし,Verb,名詞,めいし,Noun,品詞,ひんし,Part of speech,,,
822,飼,Domesticate,Raise Animals,Eat . . . director. The sense is of rearing of animals.,,"When you DOMESTICATE a animal, you are the DIRECTOR of it´s life and what it EATS.","After a pride of hungry lions ate the director, the producer decided to tone down his documentary and film domesticated cats instead.",食: eat; food　司: director,13,食,シ,か.う,飼育する,しいくする,"Raise animals, breed, rear",犬を飼う,いぬをかう,Keep (a dog),,,,,,
823,冊,Tome,Counter For Books,This key word is a counter for books. It differs from scrapbook both in the writing order and in the extension of the second horizontal stroke.,,Pictograph. I think of that Harry Potter spell book that had to be bound shut coz it wanted to eat you.,"冊 さつ 1: counter for books A heavy scrapbook so full that flowers are sticking out. Only if a scrapbook is that full, it can be called a heavy book.",冊: counter for books; scrapbook (RTK),5,冂,"サツ, サク",,一冊,いっさつ,One volume,,,,,,,,,
824,嗣,Heir,Heir,Mouth . . . scrapbook . . . director.,,"The lawyer called all the heirs into a meeting. Everybody else received cars, property, and the like. When it got to be my turn the lawyer informed me I would be receiving a scrapbook. My mouth dropped open. A scrapbook?! No Ferrari, no mansion, ...scrapbook?! Turns out the scrapbook was of my great uncle's company, and I had been named the new director of the multi-million dollar business. My mouth literally hit the scrapbook when I learned I'd be director.","My mouth hung open when I found out I was the heir to not only my father's scrapbooks, but he also left me as director of the company.",口: mouth　冊: counter for books; scrapbook (RTK)　司: director,13,口,シ,,嗣子,しし,"Heir, successor",,,,,,,,,
825,覗,"Peek, Come Into View","Peek, Come Into View",,,,,司: director　見: see,,,シ,のぞ.く,覗く,のぞく,"Peek, look into; stick out, peek through",覗き穴,のぞきあな,Peephole,,,,,,
826,歌,Song,"Song, Japanese Poem","The song in this kanji is being sung by a chorus line of can-can girls. Why it should be eliciting nothing but yawning from the audience, I leave to you to decide.",,"Can-Can-ers lack the ability to sing a song, so they just dance.","Can-can dancers are supposed to be big-bosomed girls who dance. Yet these so called can-can dancers are flat-chested and singing a song, so audience of men is yawning in boredom.",可: can　可: can　欠: lack; yawn (RTK),14,欠,カ,"うた, うた.う",歌詞,かし,Words (lyrics] of a song,和歌,わか,"Japanese poem, tanka",歌う,うたう,To sing,歌,うた,Song
827,唄,Pop song,Ditty,"There is a lot of money to be made of one's songs are ""popular."" This is depicted here as a stream of clams spewing out of the mouth of someone performing a pop song.",,The new generation of pop songs have no depth. They just mouth empty lyrics to get money. Not like the pop songs of my day.,A new way for sluts to use their mouths to make alot of money.,"口: mouth　貝: shellfish; money, clam (RTK)",10,口,,"うた, うた.う",唄う,うたう,"Recite, sing",子守唄,こもりうた,Lullaby,,,,,,
828,負,Defeat,"Bear, Lose","Above we have the condensed form of bound up, and below the familiar shellfish. Now imagine two oysters engaged in shell-to-shell combat, the one who is defeated being bound and gagged with seaweed, the victor towering triumphantly over it. The bound shellfish thus becomes the symbol for defeat.",,"Tied up, the shellfish had to accept defeat!",Defeat is defined by a shellfish in binds.,"勹: wrap; bound up (RTK)　貝: shellfish; money, clam (RTK)",9,貝,フ,"ま.ける, ま.かす, お.う",負う,おう,Bear on the back; take upon oneself,勝負,しょうぶ,"Victory or defeat; match, game",負ける,まける,"Lose, be defeated",,,
829,敗,Failure,Be Defeated,The taskmaster is acknowledging the failure of a clam to make the grade in some marine school or other.,,"If you end up in failure, you give money to the taskmaster to train you.",The shell who was defeated before (defeat (#63)) is being chastised by the taskmaster for his failure to win.,"貝: shellfish; money, clam (RTK)　攵: strike; taskmaster (RTK)",11,攴,ハイ,やぶ.れる,敗北,はいぼく,"Defeat, setback",敗れる,やぶれる,"Be defeated, lose",敗戦,はいせん,"Lost battle, defeat",失敗,しっぱい,"Failure, mistake"
830,責,Blame,"Responsibility, Blame, Censure",Grow up . . . oyster.,,"As one grows up, one typically starts to blame all of their problems on money.","This is the story of a poor fisherman and his wife. A long time ago he caught an oyster with a small but precious pearl. The intelligent wife told him to sell the pearl immediately: the greedy husband figured if he kept the oyster and fed it, it would grow up and yield an even bigger pearl. One day the oyster grew so big, it crashed through the house and escaped back to sea. The angry wife left her husband, blaming his blind greed for their poverty.","龶: grow up, master (RTK)　貝: shellfish; money, clam (RTK)",11,貝,セキ,せ.める,責任,せきにん,"Responsibility, liability",責める,せめる,"Blame, censure",自責,じせき,Self-accusation,責務,せきむ,Responsibility and obligation
831,積,Volume,Accumulate,"Wheat . . . blame. This key word has to do with measurement, and should be kept distinct from the kanji for quantity (Frame 189) - even though the meanings are similar.",,"On many wheat cereal boxes, there is a disclaimer stating that ""This package is sold by weight, not by volume. Some settling of contents may have occurred."" well they only say that because they don´t want to be blamed by people getting really disappointed after they see what a small volume of cereal the box really contains.",The volume of the wheat crop is way down this year! Blame the weather!,禾: grain; wheat (RTK)　責: blame,16,禾,セキ,"つ.む, -ずみ, つ.もる, つ.もり",積む,つむ,Pile up; stow aboard,面積,めんせき,"Area, square measure",積もり,つもり,"Intention, purpose",,,
832,債,Bond,"Debt, Bond",Person . . . blame. The key word refers to financial bonds.,,Bonds are guarnteed by the government so if they fail there is one person you can blame - the prime minister!,Mr. T´s plot of world domination is foiled. Who is to blame? Bond. James Bond.,人: human (亻); umbrella (𠆢) (RTK)　責: blame,13,人,サイ,,負債,ふさい,"Debt, liabilities",債券,さいけん,"Bond, debenture",国債,こくさい,National bonds; national debt (loan],債務,さいむ,"Debt, obligation, liabilities"
833,漬,Pickling,"Pickle, Immerse",Water . . . blame.,,"When pickling you MUST use distilled water! When it doesn´t come out right, generally it is the water that is to blame.",Bad water is to blame for the process of pickling.,水: water (氵) (氺)　責: blame,14,水,,"つ.ける, つ.かる, -ず.け, -ずけ",漬ける,つける,"Pickle, preserve; immerse, dip",漬け物,つけもの,"Pickles, pickled vegetables",,,,,,
834,紡,Spinning,"Spin, Make Yarn",For the kanji that means the spinning of thread and other fibers we have the elements: thread . . . compass.,,Spiderman can spin his webs in any direction.,"You keep me spinning right round, baby right round, like a compass baby. Spidey is making a retro 80s music video, spinning right round on his giant compass, singing his favourite song.",糸: thread; Spider-Man (RTK)　方: direction; compass (RTK),10,糸,ボウ,つむ.ぐ,紡糸,ぼうし,Spinning; spun cotton (wool],綿を糸に紡ぐ,めんをいとにつむぐ,Spin cotton into yarn,,,,,,
835,績,Exploits,Achievements; Spin Thread,Thread . . . blame.,,Spidey´s exploits are world famous but still The Daily Bugle´s pages blame him for every problem out there.,(Geek alert] A lot of modern software is full of exploits which can be abused by hackers. I blame multi-threading.,糸: thread; Spider-Man (RTK)　責: blame,17,糸,セキ,,成績,せいせき,"Results, record, achievement",紡績,ぼうせき,Spinning,,,,,,
836,具,Tool,"Implement, Tool","Here is the full kanji on which the last frame is based. If you can think of a table full of carpenter's tools of all sorts, each equipped with its own eye so that it can keep a watch over what you are doing with it, you won't have trouble later keeping the primitive and the kanji apart.",,Keep an eye on your tools while you work at the table.,"One tool nobody should be without - a Mordor-type eye that floats over the workbench. It jerks around, monitoring all who come near, and if anyone so much as removes a stapler from the bench - ZAP.",目: eye　丌: table,8,八,グ,,家具,かぐ,Furniture,用具,ようぐ,"Tool, instrument, appliance",道具,どうぐ,"Tool, implement; furniture; ingredient",具体的な,ぐたいてきな,"Concrete, specific"
837,真,TRUE,"True, Geniune","Here again we meet the composite element, eye of the needle, which here combines with tool to give us a measure of what is true and what is not.",,A compass is a tool with a needle on top that points to true north.,Ten tools are all a true craftsman needs.,十: ten; cross; needle (RTK)　具: tool,10,目,シン,"ま, ま-",真実,しんじつ,"Truth, reality",真相,しんそう,"Truth, facts, real situation",真正面,ましょうめん,Right in front,真ん中,まんなか,Center
838,直,Straightaway,"Straight, Direct, Upright, Put Straight, Correct","Begin with the top two primitives, needle and eye. Together they represent the eye of a needle. Below them is a fishhook that has been straightened out and its barb removed so that it can pass through the eye of the needle.",,"If you get a needle in your eye that is hooked in there, get to a hospital straightaway.","I caught a freaky creature with ten eyes on my fish hook, so I threw it back straightaway.",十: ten; cross; needle (RTK)　目: eye,8,目,"チョク, ジキ, ジカ*","ただ.ちに, なお.す, -なお.す, なお.る, す.ぐ*",直ちに,ただちに,"Straight away, at once",直す,なおす,"Set right, fix",直線,ちょくせん,Straight line,やり直す,やりなおす,Do over again
839,植,Plant,Plant,You have no doubt seen how people practicing the Japanese art of bonsai take those helpless little saplings and twist them into crippled dwarves before they have a chance to grow up as they should. The more proper way to plant a young tree and give it a fair shake in life is to set it into the earth in such a way that it can grow up straight.,,Plants don´t become trees straightaway.,"When you plant plants, you use a piece of WOOD to make the plant grow STRAIGHT.",木: tree; wood　直: straightaway,12,木,ショク,"う.える, う.わる",植物,しょくぶつ,"Plant, vegetation",植える,うえる,"Plant, grow",植え木,うえき,"Garden plant, pot plant",植民地,しょくみんち,"Colony, settlement"
840,殖,Augment,Multiply,Bones . . . straightaway.,,Advertisement for Breast Implants -- Tired of nights all alone? Want to get boned straightaway? AUGMENT your breasts and all your troubles will be solved!,"In the movie “Gattaca”, Vincent Freeman (played by Ethan Hawke) augments his size by straightening his bones (his legs), in order to match up with the genetically “perfect” population, and reach his goal of travelling in space. The stretching of his lower leg bones involved multiplying the bone cells, another sense of this key word.",歹: bones　直: straightaway,12,歹,ショク,"ふ.える, ふ.やす",生殖,せいしょく,"Reproduction, procreation",財産が殖える,ざいさんがふえる,Become rich,殖産,しょくさん,Increase of production; enhancement of one's fortune,,,
841,値,Price,"Value, Worth",Person . . . straightaway.,,"Mr. T (person) tells the used car salesman to tell him the real price straight away, and when he doesn´t he throws him through the windshield.","Mr. T is shopping for new chains. He knows what he wants and money isn´t an issue. ""Cut the jibba-jabba, tell me the price, straightaway!"".",人: human (亻); umbrella (𠆢) (RTK)　直: straightaway,10,人,チ,"ね, あたい",値する,あたいする,"Be worth, deserve, merit",価値,かち,"Value, merit, worth",値上げ,ねあげ,Price hike,値,あたい,Value
842,置,Placement,"Place, Put In Place; Leave In Place",Eye . . . straightaway.,,"On the JET Programme, many people have their eye on a placement in Tokyo, Osaka or another big city, and write it on their application form. They are usually sent to the countryside straightaway.",Working in retail you learn the placement of any item should be at eye level so it´s seen straightaway.,网: net; eye (罒) (RTK)　直: straightaway,13,网,チ,"お.く, -お.き",置く,おく,Put in place; leave behind,位置,いち,"Position, place",物置き,ものおき,"Closet, storeroom, shed",,,
